date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2011-01-01,1,January,2011,17,Youth,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-250 Red, 44",1,1519,2443,900,1519,2419
2011-01-01,1,January,2011,23,Youth,M,Australia,Victoria,Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252,2295,561,1252,1813
2011-01-01,1,January,2011,33,"Young Adults",F,France,Yveline,Bikes,"Road Bikes","Road-150 Red, 48",2,2171,3578,1097,4342,5439
2011-01-01,1,January,2011,39,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-550-W Yellow, 38",3,713,1120,482,2139,2621
2011-01-01,1,January,2011,42,Adults,M,"United States",California,Bikes,"Road Bikes","Road-750 Black, 44",1,344,540,185,344,529
2011-01-02,2,January,2011,32,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-550-W Yellow, 38",1,713,1120,362,713,1075
2011-01-02,2,January,2011,35,Adults,F,"United States",California,Bikes,"Road Bikes","Road-550-W Yellow, 48",1,713,1120,385,713,1098
2011-01-02,2,January,2011,40,Adults,M,Australia,Victoria,Bikes,"Road Bikes","Road-550-W Yellow, 40",4,713,1120,687,2852,3539
2011-01-02,2,January,2011,41,Adults,F,Australia,Queensland,Bikes,"Road Bikes","Road-250 Red, 58",3,1555,2443,1491,4665,6156
2011-01-03,3,January,2011,28,"Young Adults",M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Black, 38",4,1252,2295,3805,5008,8813
2011-01-03,3,January,2011,29,"Young Adults",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2011-01-03,3,January,2011,38,Adults,M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
2011-01-03,3,January,2011,39,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 48",4,2171,3578,5342,8684,14026
2011-01-03,3,January,2011,42,Adults,F,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,83,344,427
2011-01-03,3,January,2011,45,Adults,F,Australia,"South Australia",Bikes,"Road Bikes","Road-750 Black, 48",2,344,540,198,688,886
2011-01-03,3,January,2011,45,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-750 Black, 44",3,344,540,572,1032,1604
2011-01-03,3,January,2011,47,Adults,M,Australia,"South Australia",Bikes,"Road Bikes","Road-550-W Yellow, 44",1,713,1120,205,713,918
2011-01-04,4,January,2011,28,"Young Adults",M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Black, 38",3,1252,2295,2854,3756,6610
2011-01-04,4,January,2011,33,"Young Adults",F,France,Nord,Bikes,"Road Bikes","Road-150 Red, 52",2,2171,3578,1884,4342,6226
2011-01-04,4,January,2011,36,Adults,F,"United States",California,Bikes,"Road Bikes","Road-650 Red, 62",2,487,783,561,974,1535
2011-01-04,4,January,2011,38,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 44",1,2171,3578,620,2171,2791
2011-01-04,4,January,2011,39,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-550-W Yellow, 38",2,713,1120,321,1426,1747
2011-01-05,5,January,2011,27,"Young Adults",M,Germany,Hessen,Bikes,"Road Bikes","Road-350-W Yellow, 48",1,1083,1701,499,1083,1582
2011-01-05,5,January,2011,37,Adults,M,"United States",California,Bikes,"Road Bikes","Road-650 Red, 48",1,487,783,280,487,767
2011-01-05,5,January,2011,51,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-650 Black, 60",3,487,783,865,1461,2326
2011-01-06,6,January,2011,19,Youth,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,1371,2171,3542
2011-01-06,6,January,2011,26,"Young Adults",F,Canada,"British Columbia",Bikes,"Mountain Bikes","Mountain-500 Black, 44",3,295,540,719,885,1604
2011-01-06,6,January,2011,34,"Young Adults",M,"United States",Washington,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,77,344,421
2011-01-06,6,January,2011,35,Adults,F,"United States",California,Bikes,"Road Bikes","Road-550-W Yellow, 48",1,713,1120,385,713,1098
2011-01-06,6,January,2011,44,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 62",3,2171,3578,4006,6513,10519
2011-01-06,6,January,2011,48,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-750 Black, 48",2,344,540,381,688,1069
2011-01-07,7,January,2011,18,Youth,F,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 52",1,344,540,83,344,427
2011-01-07,7,January,2011,28,"Young Adults",M,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
2011-01-07,7,January,2011,31,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 40",2,1083,1701,1100,2166,3266
2011-01-07,7,January,2011,41,Adults,F,"United Kingdom",England,Bikes,"Road Bikes","Road-550-W Yellow, 40",1,713,1120,362,713,1075
2011-01-08,8,January,2011,27,"Young Adults",F,Australia,Victoria,Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252,2295,561,1252,1813
2011-01-08,8,January,2011,31,"Young Adults",F,"United States",Oregon,Bikes,"Road Bikes","Road-150 Red, 62",3,2171,3578,2718,6513,9231
2011-01-08,8,January,2011,34,"Young Adults",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Black, 42",1,1252,2295,997,1252,2249
2011-01-08,8,January,2011,34,"Young Adults",M,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 48",1,1083,1701,397,1083,1480
2011-01-08,8,January,2011,35,Adults,F,"United States",California,Bikes,"Road Bikes","Road-550-W Yellow, 48",1,713,1120,385,713,1098
2011-01-08,8,January,2011,35,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 48",4,2171,3578,2479,8684,11163
2011-01-08,8,January,2011,39,Adults,M,Australia,Tasmania,Bikes,"Road Bikes","Road-350-W Yellow, 44",3,1083,1701,884,3249,4133
2011-01-08,8,January,2011,40,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-650 Black, 48",4,487,783,495,1948,2443
2011-01-09,9,January,2011,17,Youth,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-350-W Yellow, 42",1,1083,1701,601,1083,1684
2011-01-09,9,January,2011,28,"Young Adults",M,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
2011-01-09,9,January,2011,30,"Young Adults",F,Australia,Tasmania,Bikes,"Road Bikes","Road-250 Black, 52",1,1555,2443,424,1555,1979
2011-01-09,9,January,2011,34,"Young Adults",M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 56",3,2171,3578,4006,6513,10519
2011-01-09,9,January,2011,39,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 48",3,2171,3578,1860,6513,8373
2011-01-10,10,January,2011,28,"Young Adults",F,Australia,"South Australia",Bikes,"Mountain Bikes","Mountain-200 Silver, 38",4,1266,2320,2546,5064,7610
2011-01-10,10,January,2011,33,"Young Adults",F,France,Nord,Bikes,"Road Bikes","Road-150 Red, 52",3,2171,3578,2826,6513,9339
2011-01-10,10,January,2011,35,Adults,F,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 48",1,1083,1701,397,1083,1480
2011-01-10,10,January,2011,37,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-550-W Yellow, 44",1,713,1120,161,713,874
2011-01-11,11,January,2011,21,Youth,F,Australia,"New South Wales",Bikes,"Road Bikes","Road-250 Black, 58",3,1555,2443,1711,4665,6376
2011-01-11,11,January,2011,24,Youth,F,Australia,Queensland,Bikes,"Mountain Bikes","Mountain-200 Silver, 38",2,1266,2320,1366,2532,3898
2011-01-11,11,January,2011,33,"Young Adults",F,Australia,"South Australia",Bikes,"Road Bikes","Road-250 Black, 58",1,1555,2443,448,1555,2003
2011-01-11,11,January,2011,34,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-550-W Yellow, 44",1,713,1120,362,713,1075
2011-01-11,11,January,2011,34,"Young Adults",M,"United States",California,Bikes,"Mountain Bikes","Mountain-500 Black, 40",4,295,540,937,1180,2117
2011-01-11,11,January,2011,34,"Young Adults",M,"United States",Oregon,Bikes,"Mountain Bikes","Mountain-400-W Silver, 42",1,420,769,241,420,661
2011-01-11,11,January,2011,38,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,1371,2171,3542
2011-01-11,11,January,2011,38,Adults,M,"United States",Oregon,Bikes,"Road Bikes","Road-250 Red, 44",1,1519,2443,582,1519,2101
2011-01-11,11,January,2011,61,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 52",2,2171,3578,2671,4342,7013
2011-01-12,12,January,2011,23,Youth,F,Australia,Victoria,Bikes,"Road Bikes","Road-250 Black, 44",1,1555,2443,375,1555,1930
2011-01-12,12,January,2011,29,"Young Adults",M,Australia,Queensland,Bikes,"Road Bikes","Road-250 Black, 52",1,1555,2443,497,1555,2052
2011-01-12,12,January,2011,30,"Young Adults",M,France,"Seine (Paris)",Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,763,2171,2934
2011-01-12,12,January,2011,33,"Young Adults",F,France,"Garonne (Haute)",Bikes,"Road Bikes","Road-150 Red, 48",1,2171,3578,1192,2171,3363
2011-01-12,12,January,2011,33,"Young Adults",M,"United States",California,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,185,344,529
2011-01-12,12,January,2011,39,Adults,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-250 Red, 58",4,1555,2443,3454,6220,9674
2011-01-12,12,January,2011,44,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,1335,2171,3506
2011-01-13,13,January,2011,33,"Young Adults",F,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266
